f: others/collisionSave.py
c: a cool crash of two moons
v: ["colors", [(0.3, 0.85, 0.88), (0.12, 0.37, 0.08), (0.33, 0.47, 0.61), (0.41, 0.46, 0.54), (0.75, 0.21, 0.68), (0.65, 0.02, 0.14), (0.06, 0.84, 0.65), (0.02, 0.84, 0.3), (0.67, 0.11, 0.75), (0.33, 0.61, 0.68), (0.22, 1.0, 0.52), (0.66, 0.91, 0.42), (0.51, 0.16, 0.27), (0.54, 0.78, 0.97), (0.85, 0.96, 0.99), (0.19, 0.41, 0.93), (0.93, 0.86, 0.52), (0.58, 0.34, 0.99), (0.84, 0.42, 0.19), (0.73, 0.86, 0.33), (0.34, 1.0, 0.6), (0.22, 0.26, 0.66), (0.89, 0.68, 0.91), (0.04, 0.45, 0.89), (0.48, 0.68, 0.49), (0.78, 0.06, 0.83), (0.12, 0.46, 0.85), (0.04, 0.4, 0.45), (0.6, 0.84, 0.52), (0.89, 0.14, 0.64), (0.96, 0.91, 0.13), (0.28, 0.07, 0.64), (0.98, 0.68, 0.42), (0.18, 0.98, 0.32), (0.31, 0.77, 0.03), (0.56, 0.59, 0.38), (0.0, 0.15, 0.93), (0.6, 0.91, 0.93), (0.79, 0.73, 0.7), (0.8, 0.33, 0.82), (0.51, 0.25, 0.42), (0.69, 0.82, 0.78), (0.33, 0.71, 0.03), (0.08, 0.04, 0.16), (0.68, 0.63, 0.17), (0.07, 0.77, 0.35), (0.58, 1.0, 0.48), (1.0, 0.48, 0.58), (0.62, 0.68, 0.3), (0.17, 0.59, 0.54), (0.69, 0.13, 0.85), (0.97, 0.98, 0.77), (0.72, 0.86, 0.01), (0.81, 0.3, 0.65), (0.32, 0.1, 0.79), (0.12, 0.14, 0.91), (0.42, 0.27, 0.56), (0.78, 0.17, 0.84), (0.44, 0.17, 0.07), (0.59, 0.98, 0.04), (0.97, 0.64, 0.86), (0.8, 0.45, 0.9), (0.1, 0.42, 0.57), (0.67, 0.91, 0.17), (0.71, 0.32, 0.94), (0.42, 0.64, 0.39), (0.22, 0.61, 0.98), (0.53, 0.33, 0.0), (0.38, 0.52, 0.56), (0.14, 0.13, 0.71), (0.75, 0.71, 0.4), (0.54, 0.93, 0.77), (0.34, 0.71, 0.95), (0.51, 0.71, 0.19), (0.03, 0.73, 0.76), (0.73, 0.43, 0.04), (1.0, 0.37, 0.4), (0.12, 0.38, 0.54), (0.46, 0.09, 0.19), (0.44, 0.27, 0.6), (0.01, 0.75, 0.39), (0.11, 0.13, 0.56), (0.38, 0.87, 0.04), (0.81, 0.89, 0.92), (0.33, 0.21, 0.75), (0.78, 0.15, 0.94), (0.42, 0.48, 0.99), (0.78, 0.87, 0.07), (0.71, 0.82, 0.4), (0.44, 0.31, 0.86), (0.32, 0.88, 0.71), (0.81, 0.8, 0.77), (0.49, 0.93, 0.62), (0.88, 0.14, 0.52), (0.67, 0.74, 0.27), (0.09, 0.71, 0.18), (0.8, 0.57, 0.62), (0.45, 0.23, 0.9), (0.67, 0.16, 0.85), (0.52, 0.77, 0.74), (0.85, 0.85, 0.71), (0.08, 0.83, 0.2), (0.99, 0.19, 0.88), (0.42, 0.0, 0.86), (0.59, 0.46, 0.73), (0.55, 0.69, 0.85), (0.78, 0.17, 0.14), (0.54, 0.07, 0.53), (0.29, 0.22, 0.28), (0.95, 0.16, 0.62), (0.57, 0.52, 0.4), (0.87, 1.0, 0.92), (0.92, 0.29, 0.99), (0.15, 0.33, 0.16), (0.93, 0.25, 0.53), (0.9, 0.75, 0.26), (0.34, 0.44, 0.89), (0.6, 0.15, 0.71), (0.48, 0.26, 0.69), (0.43, 0.19, 0.79), (0.6, 0.54, 0.19), (0.1, 1.0, 0.38), (0.9, 0.08, 0.46), (0.87, 0.24, 0.71), (0.98, 0.39, 0.93), (0.59, 0.98, 0.43), (0.17, 0.07, 0.53), (1.0, 0.34, 0.59), (0.67, 0.34, 0.83), (0.42, 0.65, 0.7), (0.02, 0.25, 0.66), (0.3, 0.38, 0.47), (0.21, 0.82, 0.31), (0.18, 0.43, 0.63), (0.78, 0.96, 0.18), (0.23, 0.99, 0.56), (1.0, 0.08, 0.99), (0.32, 0.49, 0.31), (0.64, 0.53, 0.4), (0.35, 0.98, 0.71), (0.5, 0.48, 0.42), (0.35, 0.55, 0.09), (0.48, 0.52, 0.45), (0.86, 0.93, 0.47), (0.71, 0.24, 0.15), (0.25, 0.23, 0.09), (0.86, 0.9, 0.23), (0.51, 1.0, 0.01), (0.3, 0.84, 0.57), (0.8, 0.96, 0.4), (0.12, 0.05, 0.07), (0.71, 0.26, 0.8), (0.22, 0.24, 0.96), (0.51, 0.37, 0.85), (0.13, 0.95, 0.9), (0.3, 0.18, 0.55), (0.4, 0.89, 0.35), (0.05, 0.47, 0.52), (0.2, 0.46, 0.12), (0.14, 0.54, 0.5), (0.45, 1.0, 0.51), (0.54, 0.53, 0.84), (0.69, 0.9, 0.95), (0.45, 0.62, 0.32), (0.36, 0.61, 0.42), (0.64, 0.44, 0.63), (0.37, 0.95, 0.05), (0.27, 0.36, 0.83), (0.47, 0.12, 0.43), (0.61, 0.86, 0.53), (0.35, 0.21, 0.89), (0.81, 0.58, 0.93), (0.0, 0.14, 0.35), (0.06, 0.17, 0.84), (0.98, 0.9, 0.87), (0.95, 0.7, 0.02), (0.48, 0.56, 0.94), (0.91, 0.92, 0.06), (0.24, 0.99, 0.05), (0.25, 1.0, 0.58), (0.74, 0.21, 0.41), (0.55, 0.5, 0.19), (0.8, 0.37, 0.27), (0.09, 0.56, 0.96), (0.37, 0.9, 0.55), (0.1, 0.82, 0.91), (0.07, 0.89, 0.71), (0.6, 0.82, 0.15), (0.63, 0.89, 0.75), (0.42, 0.66, 0.7), (0.67, 0.64, 0.88), (0.2, 0.11, 0.63), (0.15, 0.25, 0.92), (0.31, 0.55, 0.93), (0.88, 0.54, 0.3), (0.86, 0.5, 0.27), (0.6, 0.63, 0.59), (0.89, 0.14, 0.57), (0.62, 0.59, 0.81), (0.49, 0.05, 0.54), (0.99, 0.83, 0.96), (0.7, 0.25, 0.94), (0.52, 0.41, 0.4), (0.61, 0.69, 0.03), (0.45, 0.83, 0.54), (0.18, 1.0, 0.38), (0.52, 0.14, 0.42), (0.41, 0.16, 0.65), (0.6, 0.22, 0.21), (0.1, 0.54, 0.63), (0.12, 0.78, 0.21), (0.19, 0.64, 0.72), (0.12, 0.09, 0.03), (0.99, 0.02, 0.77), (0.54, 0.88, 0.87), (0.48, 0.59, 0.46), (0.17, 0.36, 0.6), (0.13, 0.74, 0.53), (0.15, 0.46, 0.66), (0.51, 0.9, 0.82), (0.87, 0.11, 0.22), (0.19, 0.93, 0.14), (0.62, 0.29, 0.68), (0.12, 0.67, 0.18), (0.93, 0.62, 0.93), (0.92, 0.81, 0.36), (0.83, 0.22, 0.37), (0.28, 0.55, 0.58), (0.01, 0.39, 0.48), (0.34, 0.48, 0.35), (0.31, 0.3, 0.76), (0.29, 0.48, 0.06), (0.12, 0.07, 0.0), (0.12, 0.66, 0.59), (0.38, 0.74, 0.54), (0.13, 0.97, 0.31), (0.75, 0.71, 0.16), (0.27, 0.26, 0.21), (0.16, 0.56, 0.52), (0.19, 0.87, 0.81), (0.18, 0.69, 0.98), (0.45, 0.78, 0.12), (0.68, 0.17, 0.23), (0.76, 0.14, 0.49), (0.01, 0.75, 0.36), (0.94, 0.59, 0.55), (0.12, 0.72, 0.04), (0.95, 0.33, 0.97), (0.99, 0.88, 0.98), (0.77, 0.26, 0.99)]]
o: [1, (-271, 274), (-5.5, 9.9), 0.5]
o: [1, (412, -498), (-5.1, -3.2), 0.5]
o: [1, (487, -439), (7.7, 2.9), 0.5]
o: [1, (331, -447), (3.9, 0.1), 0.5]
o: [1, (-239, -119), (-6.7, 2.9), 0.5]
o: [1, (-331, -489), (-9.1, 9.9), 0.5]
o: [1, (475, -398), (0.4, -5.5), 0.5]
o: [1, (-182, -217), (7.8, 8.6), 0.5]
o: [1, (48, -212), (8.5, 4.2), 0.5]
o: [1, (-239, 319), (-5.2, 6.8), 0.5]
o: [1, (-174, 242), (5.1, 9.1), 0.5]
o: [1, (215, -489), (-8.1, -3.4), 0.5]
o: [1, (273, -222), (-7.6, 2.2), 0.5]
o: [1, (-16, 369), (-7.5, -5.1), 0.5]
o: [1, (87, -388), (5.5, -9.2), 0.5]
o: [1, (94, -435), (8.6, -8.7), 0.5]
o: [1, (-298, -161), (-7.8, -8.6), 0.5]
o: [1, (-61, 474), (-9.4, -4.2), 0.5]
o: [1, (-297, -453), (0.7, 7.8), 0.5]
o: [1, (152, -120), (4.4, -6.1), 0.5]
o: [1, (184, 160), (-7.3, -1.0), 0.5]
o: [1, (277, 272), (7.9, -8.6), 0.5]
o: [1, (-181, 148), (9.0, -3.1), 0.5]
o: [1, (-394, 292), (3.5, -0.4), 0.5]
o: [1, (442, 451), (-9.7, -1.0), 0.5]
o: [1, (99, 384), (-5.4, 2.1), 0.5]
o: [1, (450, -128), (3.3, -8.3), 0.5]
o: [1, (190, -138), (-9.4, 4.8), 0.5]
o: [1, (-499, -245), (-9.9, 5.5), 0.5]
o: [1, (141, 477), (2.3, -5.1), 0.5]
o: [1, (-225, -161), (7.1, 3.3), 0.5]
o: [1, (1, 36), (4.4, 0.9), 0.5]
o: [1, (-216, -470), (0.4, 6.0), 0.5]
o: [1, (-27, -193), (1.5, -9.2), 0.5]
o: [1, (-387, 250), (7.8, -9.0), 0.5]
o: [1, (-93, -438), (8.9, -8.8), 0.5]
o: [1, (494, -92), (4.1, -3.2), 0.5]
o: [1, (-82, -240), (-1.1, 6.8), 0.5]
o: [1, (241, 29), (4.2, -7.6), 0.5]
o: [1, (-102, -236), (-6.5, 7.9), 0.5]
o: [1, (-56, 276), (-7.8, -10.0), 0.5]
o: [1, (-291, -241), (4.4, 5.2), 0.5]
o: [1, (81, -168), (6.1, 6.4), 0.5]
o: [1, (-283, 372), (-0.4, 9.5), 0.5]
o: [1, (267, 121), (-0.3, -2.6), 0.5]
o: [1, (-354, -223), (1.7, 5.0), 0.5]
o: [1, (46, 239), (1.9, -4.9), 0.5]
o: [1, (395, -32), (-3.0, 1.7), 0.5]
o: [1, (167, 111), (-7.8, -8.2), 0.5]
o: [1, (41, 119), (-3.6, 2.9), 0.5]
o: [1, (487, 64), (-1.5, -5.5), 0.5]
o: [1, (-470, -374), (5.2, 1.8), 0.5]
o: [1, (-134, -337), (4.5, -8.8), 0.5]
o: [1, (-14, 440), (7.9, -5.2), 0.5]
o: [1, (-288, 97), (-1.5, -3.8), 0.5]
o: [1, (210, -87), (-7.2, -9.9), 0.5]
o: [1, (-292, 7), (-1.3, -7.8), 0.5]
o: [1, (429, 73), (7.5, 4.0), 0.5]
o: [1, (-127, 349), (0.2, 5.4), 0.5]
o: [1, (382, 383), (6.8, -9.4), 0.5]
o: [1, (-233, -431), (6.2, 1.8), 0.5]
o: [1, (368, -240), (-9.2, 7.3), 0.5]
o: [1, (-32, 195), (-3.7, 4.1), 0.5]
o: [1, (151, -399), (-4.9, 4.7), 0.5]
o: [1, (-88, -203), (4.5, 4.3), 0.5]
o: [1, (451, 371), (9.6, -2.5), 0.5]
o: [1, (135, -302), (6.3, 8.3), 0.5]
o: [1, (-208, 39), (6.2, 4.8), 0.5]
o: [1, (-164, -473), (6.3, -4.9), 0.5]
o: [1, (285, -431), (-4.8, -9.1), 0.5]
o: [1, (25, 280), (3.2, -2.5), 0.5]
o: [1, (-423, -2), (0.8, 4.4), 0.5]
o: [1, (273, -106), (8.9, -3.5), 0.5]
o: [1, (223, -193), (-8.4, -2.3), 0.5]
o: [1, (-348, -122), (3.4, -7.6), 0.5]
o: [1, (-164, -398), (-5.3, -9.0), 0.5]
o: [1, (-266, -291), (-0.9, 9.0), 0.5]
o: [1, (-474, -323), (2.1, -0.2), 0.5]
o: [1, (4, -219), (-5.4, 4.2), 0.5]
o: [1, (283, 236), (-4.1, -2.8), 0.5]
o: [1, (168, 275), (-5.7, -4.3), 0.5]
o: [1, (438, 477), (-8.8, 1.1), 0.5]
o: [1, (238, 295), (-4.5, 0.3), 0.5]
o: [1, (-413, 177), (1.7, -9.6), 0.5]
o: [1, (-6, -10), (-6.4, 4.7), 0.5]
o: [1, (247, -489), (2.6, 6.1), 0.5]
o: [1, (-429, -122), (7.7, 3.7), 0.5]
o: [1, (434, -421), (2.3, 7.4), 0.5]
o: [1, (411, 368), (-8.0, -1.5), 0.5]
o: [1, (-82, -96), (-1.8, 1.6), 0.5]
o: [1, (342, 235), (3.1, -2.0), 0.5]
o: [1, (383, 458), (-9.2, -4.3), 0.5]
o: [1, (423, -404), (-1.6, 1.4), 0.5]
o: [1, (-245, 486), (4.4, 7.5), 0.5]
o: [1, (-418, 325), (7.9, 4.4), 0.5]
o: [1, (299, 450), (-3.9, 0.7), 0.5]
o: [1, (-291, 102), (-2.4, 1.7), 0.5]
o: [1, (-218, -164), (-1.6, 7.2), 0.5]
o: [1, (-166, -152), (-4.8, -7.8), 0.5]
o: [1, (16, 153), (0.8, -6.8), 0.5]
o: [1, (20, 48), (5.1, -3.7), 0.5]
o: [1, (389, -177), (1.3, 1.3), 0.5]
o: [1, (140, -454), (-9.5, -4.8), 0.5]
o: [1, (66, -48), (6.7, -0.3), 0.5]
o: [1, (343, -429), (3.9, 3.6), 0.5]
o: [1, (492, -414), (-3.5, -2.8), 0.5]
o: [1, (-135, -39), (3.7, 7.3), 0.5]
o: [1, (192, 143), (0.6, 1.8), 0.5]
o: [1, (-412, 422), (-2.5, -4.3), 0.5]
o: [1, (106, -31), (-2.5, -9.7), 0.5]
o: [1, (-329, 311), (-6.1, 1.9), 0.5]
o: [1, (477, -27), (-1.4, 8.3), 0.5]
o: [1, (-262, 428), (2.8, -2.2), 0.5]
o: [1, (-293, 390), (7.3, -6.9), 0.5]
o: [1, (158, 420), (-4.6, 0.6), 0.5]
o: [1, (-1, -304), (9.1, 1.5), 0.5]
o: [1, (-91, 287), (-7.4, 3.9), 0.5]
o: [1, (-185, -56), (8.7, 3.8), 0.5]
o: [1, (208, 399), (-7.9, -5.2), 0.5]
o: [1, (-293, 270), (4.3, 8.3), 0.5]
o: [1, (205, -200), (-3.6, 0.4), 0.5]
o: [1, (62, -422), (6.8, 2.3), 0.5]
o: [1, (55, -418), (9.5, 6.4), 0.5]
o: [1, (407, -151), (0.4, -6.3), 0.5]
o: [1, (258, -221), (8.3, 1.8), 0.5]
o: [1, (401, -60), (5.4, 4.8), 0.5]
o: [1, (106, 234), (5.2, -8.2), 0.5]
o: [1, (38, 222), (1.4, -5.8), 0.5]
o: [1, (-351, 19), (1.0, 4.7), 0.5]
o: [1, (104, -355), (0.0, -8.8), 0.5]
o: [1, (-49, 140), (4.7, -9.5), 0.5]
o: [1, (-159, 309), (6.3, -8.9), 0.5]
o: [1, (-132, -383), (0.5, 9.2), 0.5]
o: [1, (-85, 306), (7.4, 3.1), 0.5]
o: [1, (-385, -482), (2.0, 0.9), 0.5]
